"id","identificador","ubicacion","latitud","longitud","municipio_id","provincia_id","id_departamento","municipio","provincia","departamento"
"738","TUC088-01","Tacanas -","-26.000000","-65.000000","TUC088","AR-T","1653","San Pedro de Colalao","Tucumán","Trancas"
"525","SFE028-01","","0.000000","0.000000","SFE028","AR-S","1689","Bella Italia","Santa Fe","Castellanos"
"613","CBA419-01","","-31.820939","-64.390857","CBA419","AR-X","1389","Villa San Isidro","Córdoba","Santa Maria"
"403","SGO040-01","","-27.709840","-63.770921","SGO040","AR-G","1617","La Cañada","Santiago del Estero","Figueroa"
"760","CHU029-01","Las Plumas","-43.721630","-67.284477","CHU029","AR-U","1378","Las Plumas","Chubut","Martires"
"392","ERI064-01","Villa Paranacito - Plaza de los Niños","-34.000000","-59.000000","ERI064","AR-E","1438","Villa Paranacito","Entre Ríos","Islas del Ibicuy"
"928","MIS030-01","Punto Digital","-27.295944","-54.199077","MIS030","AR-N","1546","El Soberbio","Misiones","Guarani"
"338","MIS030-02","Oficina de Turismo","-27.000000","-54.000000","MIS030","AR-N","1546","El Soberbio","Misiones","Guarani"
"591","MIS012-01","Centro Cultural  La Morocha ","-27.000000","-55.000000","MIS012","AR-N","1539","Campo Viera","Misiones","Obera"
"1086","LRJ013-01","","-29.894789","-67.149717","LRJ013","AR-F","1509","Independencia","La Rioja","Independencia"
"813","NEU022-01","","-37.205639","-70.819306","NEU022","AR-Q","1552","Los Miches","Neuquén","Minas"
"325","COR025-01","","0.000000","0.000000","COR025","AR-W","1412","Itá Ibaté","Corrientes","General Paz"
"977","TDF001-01","Punto Digital","-53.768913","-67.717428","TDF001","AR-V","1641","Río Grande","Tierra del Fuego","Rio Grande"
"1191","RNO065-01","","0.000000","0.000000","RNO065","AR-R","1572","Prahuaniyeu","Río Negro","Nueve de Julio"
"1205","SFE318-01","","0.000000","0.000000","SFE318","AR-S","1694","Sauce Viejo","Santa Fe","La Capital"
"1217","SLU007-01","","0.000000","0.000000","SLU007","AR-D","1599","Batavia","San Luis","Gobernador Dupuy"
"307","CHA063-01","Municipalidad","-27.830750","-61.135556","CHA063","AR-H","1351","Santa Sylvina","Chaco","Fray Justo Santa Maria de Oro"
"1009","MZA012-01","Centro Polideportivo","-33.202010","-68.475049","MZA012","AR-M","1526","Rivadavia","Mendoza","Rivadavia"
"903","NEU045-01","","-39.261370","-68.787508","NEU045","AR-Q","1556","Villa el Chocón","Neuquén","Confluencia"
"297","COR064-01","Municipalidad de Villa Olivari VSAT","-27.632751","-56.905982","COR064","AR-W","1417","Villa Olivari","Corrientes","Ituzaingo"
"1069","SGO034-01","","-28.989077","-62.126750","SGO034","AR-G","1616","Guardia Escolta","Santiago del Estero","Belgrano"
"603","CBA140-01","Municipalidad","-32.757722","-63.789722","CBA140","AR-X","1385","General Deheza","Córdoba","Juarez Celman"
"1185","COR016-01","","0.000000","0.000000","COR016","AR-W","1423","Esquina","Corrientes","Esquina"
"1072","CAT015-01","","-28.078528","-65.902694","CAT015","AR-K","1336","Las Juntas","Catamarca","Ambato"
"930","MZA011-01","Punto Digital","-32.874529","-68.876071","MZA011","AR-M","1525","Mendoza","Mendoza","Capital"
"157","MZA011-02","Plaza Chile","-32.886642","-68.847010","MZA011","AR-M","1525","Mendoza","Mendoza","Capital"
"553","FOR004-01","","0.000000","0.000000","FOR004","AR-P","1453","Comandante Fontana","Formosa","Patiño"
"1085","FOR001-01","","-25.071109","-58.385365","FOR001","AR-P","1450","Buena Vista","Formosa","Pilagas"
"301","COR006-01","Municipalidad de Chavarria VSAT","-28.393260","-57.886420","COR006","AR-W","1414","Chavarría","Corrientes","San Roque"
"1242","CBA246-01","","0.000000","0.000000","CBA246","AR-X","1386","Marcos Juárez","Córdoba","Marcos Juarez"
"908","RNO041-01","","-39.982101","-68.873688","RNO041","AR-R","1568","Aguada Guzmán","Río Negro","El Cuy"
"245","BUE025-01","PD Chascomus","-37.655250","-57.669357","BUE025","AR-B","1220","Chascomús","Buenos Aires","Chascomus"
"1209","SFE266-01","","0.000000","0.000000","SFE266","AR-S","1683","Rufino","Santa Fe","General Lopez"
"202","SFE266-02","Rufino - Plaza Sarmiento","-34.262077","-62.711183","SFE266","AR-S","1683","Rufino","Santa Fe","General Lopez"
"201","SFE266-03","Rufino - Municipalidad","-34.264887","-62.699207","SFE266","AR-S","1683","Rufino","Santa Fe","General Lopez"
"1233","SAL038-01","","0.000000","0.000000","SAL038","AR-A","1679","Molinos","Salta","Molinos"
"820","SGO116-01","","-27.465667","-62.917944","SGO116","AR-G","1634","Las Tinajas","Santiago del Estero","Moreno"
"333","CBA193-01","","0.000000","0.000000","CBA193","AR-X","1407","Laboulaye","Córdoba","Presidente Roque Saenz Peña"
"640","SGO068-01","Plaza San Martin","-27.954426","-65.166173","SGO068","AR-G","1627","San Pedro de Guasayán","Santiago del Estero","Guasayan"
"315","MIS042-01","","0.000000","0.000000","MIS042","AR-N","1539","Guaraní","Misiones","Obera"
"1247","BUE065-01","","0.000000","0.000000","BUE065","AR-B","1259","La Matanza","Buenos Aires","La Matanza"
"590","MIS013-01","","-27.460861","-55.745056","MIS013","AR-N","1538","Candelaria","Misiones","Candelaria"
"605","CBA290-01","salon de usos multiples","-32.019000","-62.922250","CBA290","AR-X","1398","Pozo del Molle","Córdoba","Rio Segundo"
"1196","SFE144-01","","0.000000","0.000000","SFE144","AR-S","1701","Gregoria Pérez de denis","Santa Fe","Nueve de Julio"
"1278","CBA231-01","","0.000000","0.000000","CBA231","AR-X","1391","Los Reartes","Córdoba","Calamuchita"
"657","CHU002-01","Biblioteca","-43.321444","-69.692889","CHU002","AR-U","1368","Aldea Epulef","Chubut","Languiñeo"
"228","ERI024-01","Gualeguay - Costanera","-33.159518","-59.293823","ERI024","AR-E","1445","Gualeguay","Entre Ríos","Gualeguay"
"1286","JUJ040-01","el moreno","0.000000","0.000000","JUJ040","AR-Y","1472","Purmamarca","Jujuy","Tumbaya"
"718","JUJ037-01","Municipalidad","-22.536714","-65.696847","JUJ037","AR-Y","1459","Puesto del Marqués","Jujuy","Cochinoca"
"1210","CAT028-01","","0.000000","0.000000","CAT028","AR-K","1344","Santa María","Catamarca","Santa Maria"
"923","SAL047-01","Punto Digital","-24.986053","-65.587102","SAL047","AR-A","1665","Rosario de Lerma","Salta","Rosario de Lerma"
"189","SAL047-02","Plaza Jorge Torino de Viana","-24.986017","-65.578157","SAL047","AR-A","1665","Rosario de Lerma","Salta","Rosario de Lerma"
"1221","CBA318-01","","0.000000","0.000000","CBA318","AR-X","1382","Sampacho","Córdoba","Rio Cuarto"
"799","SCR020-01","","-46.716450","-68.226328","SCR020","AR-Z","1607","Koluel Kayke","Santa Cruz","Deseado"
"735","SFE225-01","Plaza San Martin","-33.643556","-61.858056","SFE225","AR-S","1683","Murphy","Santa Fe","General Lopez"
"925","RNO017-01","Punto Digital","-38.957324","-67.921502","RNO017","AR-R","1569","General Fernández Oro","Río Negro","General Roca"
"227","RNO017-02","Polideportivo","-38.954059","-67.920646","RNO017","AR-R","1569","General Fernández Oro","Río Negro","General Roca"
"391","CBA366-01","","0.000000","0.000000","CBA366","AR-X","1393","Ticino","Córdoba","General San Martin"
"1289","SFE325-01","","0.000000","0.000000","SFE325","AR-S","1689","Sunchales","Santa Fe","Castellanos"
"241","BUE049-01","PD Gral Las Heras","-34.931305","-58.943948","BUE049","AR-B","1243","General las Heras","Buenos Aires","General las Heras"
"40","BUE049-02","Estación De Tren (Villars)","-34.828756","-58.938572","BUE049","AR-B","1243","General las Heras","Buenos Aires","General las Heras"
"39","BUE049-03","Plaza Principal Las heras (Municipalidad)","-34.927194","-58.947028","BUE049","AR-B","1243","General las Heras","Buenos Aires","General las Heras"
"724","LRJ002-01","Anillaco - Plaza San Antonio de Padua","-28.811306","-66.938167","LRJ002","AR-F","1498","Castro Barros","La Rioja","Castro Barros"
"958","CBA160-01","Punto Digital","-32.883074","-62.678586","CBA160","AR-X","1384","Justiniano Posse","Córdoba","Union"
